Uniq ID,City,Sub City,Food Rate,Staff Rate,Environment Rate,Latitude,Longitude,Image,Description,Restaurant name,Most reviewed foods
11,Kandy,Panvila,4.2,3.5,3.8,7.4004,80.7329,https://media-cdn.tripadvisor.com/media/photo-s/16/0a/b4/dc/hotel-garcinia-leaf.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Garcinia Leaf,Parippu (Dal Curry)
12,Kandy,Pasbage Korale,4.2,3.6,4.1,7.0079,80.5327,https://i.travelapi.com/lodging/45000000/44810000/44801400/44801386/030d0cdb_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Okwin Resort,Gotu Kola Sambol
13,Kandy,Pathadumbara,3.7,3.2,3.6,7.3514,80.666,https://plantation-retreat-holiday-home-wattegama.booked.net/data/Photos/OriginalPhoto/7807/780781/780781536/Plantation-Retreat-Hotel-Pathadumbara-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Plantation Retreat Restaurant,Chicken Curry
14,Kandy,Pathahewaheta,4.1,3.7,4,7.2407,80.7,https://q-xx.bstatic.com/xdata/images/hotel/840x460/85506741.jpg?k=940d2487b080ea2f539e6f7efb4e6572538c861cb4d31b1c8e604a51cf4450a6&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.", Dine N Rest,Fish Ambul Thiyal
15,Kandy,Poojapitiya,3.9,3.3,3.5,7.3786,80.5866,https://danisco-leisure-bunglow-kandy.booked.net/data/Photos/OriginalPhoto/12968/1296844/1296844714/Danisco-Leisure-Bunglow-Hotel-Kandy-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Danisco Leisure,Dhal Wadi
16,Kandy,Thumpane,4.4,4,4.2,7.3695,80.4908,https://q-xx.bstatic.com/xdata/images/hotel/max1000/459903826.jpg?k=60cac6e6777543618da7b09081a673d0d02eaf2b140433a49f05fd6c235bfcf7,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Mangala Lodge Restaurant,Egg Hoppers
17,Kandy,Udadumbara,3.8,3.4,3.7,7.3144,80.8779,https://aff.bstatic.com/images/hotel/max500/877/87767413.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Priyangi Hills,Fish Curry
18,Kandy,Udapalatha,4.3,3.8,4.2,7.1155,80.5994,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8c/e7/6a/h2o-hotel-and-coffee.jpg?w=600&h=400&s=1,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Royal Mount,Vegetable Roti
19,Kandy,Udunuwara,4.1,3.6,4,7.232,80.5661,https://media-cdn.tripadvisor.com/media/photo-s/15/54/8a/09/ruf-reisen-student-group.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Tango Rest,Cuttlefish Curry
20,Kandy,Yatinuwara,3.7,3.5,3.5,7.2814,80.5409,https://q-xx.bstatic.com/xdata/images/hotel/max500/344866386.jpg?k=c094d50852d0e70fe937ff195873f4a0ada52a275d72501f8fc033c17089cbce&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Peak Residence,Wood Apple (Diya Bathala) Juice
21,Kandy,Akurana,3.5,2.5,3.4,7.3689,80.6131,https://planeterra.org/wp-content/uploads/2020/07/72.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Sthree,Jackfruit Curry
22,Kandy,Delthota,3.5,3.8,4.1,7.1729,80.6956,https://windloft-retreat.kandyhotelsnow.com/data/Pics/OriginalPhoto/1743/174315/174315870/windloft-retreat-hotel-deltota-pic-20.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Windloft Retreat,Fried Rice
23,Kandy,Doluwa,4.2,3.2,3.7,7.1862,80.6063,https://the-kandy-samadhicentre-hotel-digana.booked.net/data/Photos/OriginalPhoto/11851/1185106/1185106174/The-Kandy-Samadhicentre-Hotel-Narampanawa-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Samadhi Restaurant ,Egg Curry
24,Kandy,Gagawata Korale,3.8,4,4.3,7.2932,80.635,https://youimg1.tripcdn.com/target/ww0n1f000001gp024FA11.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Botanic Gardens Restaurant & Cafe,Masala Vadai
25,Kandy,Ganga Ihala Korale,4,3.9,4,7.1326,80.5683,https://lh3.googleusercontent.com/p/AF1QipPk4umkDKKATDjIe34frEsTm-0JxNVdUc5_h15u=s1600-h380,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Edan Rest,Ambul Polos Curry
26,Kandy,Harispattuwa,4.5,4.1,4.4,7.328,80.5875,https://q-xx.bstatic.com/xdata/images/hotel/max1000/386328511.jpg?k=b0d93e195220f5bdcfc76903ea294b0e0839402abe5f9b097892c7cff172ad5c,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",The Brick House,Fried Fish
27,Kandy,Hatharaliyadda,3.6,2.9,3.1,7.3358,80.4712,https://www.yamu.lk/wp-content/uploads/2022/02/podium-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Podium Restaurant & Bar,Beef Curry
28,Kandy,Kundasale,3.9,3.5,3.6,7.3096,80.7104,https://www.lankanames.lk/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-29-at-10.06.13-AM-1-768x1024.jpeg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Yewon Restaurant & Bakers in Kundasale,Chicken Biryani
29,Kandy,Medadumbara,4.1,3.7,3.9,7.2788,80.81,https://i.travelapi.com/lodging/16000000/15450000/15440300/15440298/4d5a7108_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Santani Wellness ,Fish Bun
30,Kandy,Minipe,3.3,2.8,3.2,7.2275,81.0009,https://absolutesrilanka.asia/files/accommodation/246/gallery/5581c1e561fb.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Palm Paradise,Kiri Bath with Lunu Miris
31,Kandy,Panvila,4.2,3.5,3.8,7.4004,80.7329,https://media-cdn.tripadvisor.com/media/photo-s/16/0a/b4/dc/hotel-garcinia-leaf.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Garcinia Leaf,Banana Leaf Rice
32,Kandy,Pasbage Korale,4.2,3.6,4.1,7.0079,80.5327,https://i.travelapi.com/lodging/45000000/44810000/44801400/44801386/030d0cdb_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Okwin Resort,Vegetable Kottu Roti
33,Kandy,Pathadumbara,3.7,3.2,3.6,7.3514,80.666,https://plantation-retreat-holiday-home-wattegama.booked.net/data/Photos/OriginalPhoto/7807/780781/780781536/Plantation-Retreat-Hotel-Pathadumbara-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Plantation Retreat Restaurant,Fish Cutlets
34,Kandy,Pathahewaheta,4.1,3.7,4,7.2407,80.7,https://q-xx.bstatic.com/xdata/images/hotel/840x460/85506741.jpg?k=940d2487b080ea2f539e6f7efb4e6572538c861cb4d31b1c8e604a51cf4450a6&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.", Dine N Rest,Cashew Curry
35,Kandy,Poojapitiya,3.9,3.3,3.5,7.3786,80.5866,https://danisco-leisure-bunglow-kandy.booked.net/data/Photos/OriginalPhoto/12968/1296844/1296844714/Danisco-Leisure-Bunglow-Hotel-Kandy-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Danisco Leisure,Prawn Curry
36,Kandy,Thumpane,4.4,4,4.2,7.3695,80.4908,https://q-xx.bstatic.com/xdata/images/hotel/max1000/459903826.jpg?k=60cac6e6777543618da7b09081a673d0d02eaf2b140433a49f05fd6c235bfcf7,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Mangala Lodge Restaurant,Fish Rolls
37,Kandy,Udadumbara,3.8,3.4,3.7,7.3144,80.8779,https://aff.bstatic.com/images/hotel/max500/877/87767413.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Priyangi Hills,Kankun Mallung
38,Kandy,Udapalatha,4.3,3.8,4.2,7.1155,80.5994,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8c/e7/6a/h2o-hotel-and-coffee.jpg?w=600&h=400&s=1,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Royal Mount,Green Bean Curry
39,Kandy,Udunuwara,4.1,3.6,4,7.232,80.5661,https://media-cdn.tripadvisor.com/media/photo-s/15/54/8a/09/ruf-reisen-student-group.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Tango Rest,Mutton Curry
40,Kandy,Yatinuwara,3.7,3.5,3.5,7.2814,80.5409,https://q-xx.bstatic.com/xdata/images/hotel/max500/344866386.jpg?k=c094d50852d0e70fe937ff195873f4a0ada52a275d72501f8fc033c17089cbce&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Peak Residence,Prawn Vadai
41,Kandy,Akurana,3.5,2.5,3.4,7.3689,80.6131,https://planeterra.org/wp-content/uploads/2020/07/72.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Sthree,Ceylon Tea
42,Kandy,Delthota,3.5,3.8,4.1,7.1729,80.6956,https://windloft-retreat.kandyhotelsnow.com/data/Pics/OriginalPhoto/1743/174315/174315870/windloft-retreat-hotel-deltota-pic-20.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Windloft Retreat,Pineapple Curry
43,Kandy,Doluwa,4.2,3.2,3.7,7.1862,80.6063,https://the-kandy-samadhicentre-hotel-digana.booked.net/data/Photos/OriginalPhoto/11851/1185106/1185106174/The-Kandy-Samadhicentre-Hotel-Narampanawa-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Samadhi Restaurant ,Brinjal Moju
44,Kandy,Gagawata Korale,3.8,4,4.3,7.2932,80.635,https://youimg1.tripcdn.com/target/ww0n1f000001gp024FA11.png,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Botanic Gardens Restaurant & Cafe,Coconut Sambol
45,Kandy,Ganga Ihala Korale,4,3.9,4,7.1326,80.5683,https://lh3.googleusercontent.com/p/AF1QipPk4umkDKKATDjIe34frEsTm-0JxNVdUc5_h15u=s1600-h380,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Edan Rest,Crab Curry
46,Kandy,Harispattuwa,4.5,4.1,4.4,7.328,80.5875,https://q-xx.bstatic.com/xdata/images/hotel/max1000/386328511.jpg?k=b0d93e195220f5bdcfc76903ea294b0e0839402abe5f9b097892c7cff172ad5c,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",The Brick House,Dried Fish (Karawala)
47,Kandy,Hatharaliyadda,3.6,2.9,3.1,7.3358,80.4712,https://www.yamu.lk/wp-content/uploads/2022/02/podium-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Podium Restaurant & Bar,Fish Soup
48,Kandy,Kundasale,3.9,3.5,3.6,7.3096,80.7104,https://www.lankanames.lk/wp-content/uploads/2022/08/WhatsApp-Image-2022-08-29-at-10.06.13-AM-1-768x1024.jpeg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Yewon Restaurant & Bakers in Kundasale,Dosa
49,Kandy,Medadumbara,4.1,3.7,3.9,7.2788,80.81,https://i.travelapi.com/lodging/16000000/15450000/15440300/15440298/4d5a7108_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Santani Wellness ,Sambol Sandwich
50,Kandy,Minipe,3.3,2.8,3.2,7.2275,81.0009,https://absolutesrilanka.asia/files/accommodation/246/gallery/5581c1e561fb.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Palm Paradise,Thosai (Dosai)
51,Kandy,Panvila,4.2,3.5,3.8,7.4004,80.7329,https://media-cdn.tripadvisor.com/media/photo-s/16/0a/b4/dc/hotel-garcinia-leaf.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Garcinia Leaf,Ambul Thiyal
52,Kandy,Pasbage Korale,4.2,3.6,4.1,7.0079,80.5327,https://i.travelapi.com/lodging/45000000/44810000/44801400/44801386/030d0cdb_z.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Okwin Resort,Beetroot Curry
53,Kandy,Pathadumbara,3.7,3.2,3.6,7.3514,80.666,https://plantation-retreat-holiday-home-wattegama.booked.net/data/Photos/OriginalPhoto/7807/780781/780781536/Plantation-Retreat-Hotel-Pathadumbara-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Plantation Retreat Restaurant,Tomato Curry
54,Kandy,Pathahewaheta,4.1,3.7,4,7.2407,80.7,https://q-xx.bstatic.com/xdata/images/hotel/840x460/85506741.jpg?k=940d2487b080ea2f539e6f7efb4e6572538c861cb4d31b1c8e604a51cf4450a6&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.", Dine N Rest,Fish Stew
55,Kandy,Poojapitiya,3.9,3.3,3.5,7.3786,80.5866,https://danisco-leisure-bunglow-kandy.booked.net/data/Photos/OriginalPhoto/12968/1296844/1296844714/Danisco-Leisure-Bunglow-Hotel-Kandy-Exterior.JPEG,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Danisco Leisure,Aasmi
56,Kandy,Thumpane,4.4,4,4.2,7.3695,80.4908,https://q-xx.bstatic.com/xdata/images/hotel/max1000/459903826.jpg?k=60cac6e6777543618da7b09081a673d0d02eaf2b140433a49f05fd6c235bfcf7,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Mangala Lodge Restaurant,Eggplant Curry
57,Kandy,Udadumbara,3.8,3.4,3.7,7.3144,80.8779,https://aff.bstatic.com/images/hotel/max500/877/87767413.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Priyangi Hills,Fish Biriyani
58,Kandy,Udapalatha,4.3,3.8,4.2,7.1155,80.5994,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8c/e7/6a/h2o-hotel-and-coffee.jpg?w=600&h=400&s=1,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Royal Mount,Ambarella Curry
59,Kandy,Udunuwara,4.1,3.6,4,7.232,80.5661,https://media-cdn.tripadvisor.com/media/photo-s/15/54/8a/09/ruf-reisen-student-group.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Tango Rest,Pumpkin Curry
60,Kandy,Yatinuwara,3.7,3.5,3.5,7.2814,80.5409,https://q-xx.bstatic.com/xdata/images/hotel/max500/344866386.jpg?k=c094d50852d0e70fe937ff195873f4a0ada52a275d72501f8fc033c17089cbce&o=,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Peak Residence,Chicken Stew
61,Matale,Ambanganga Korale,3.5,2.5,3.4,7.5651,80.6742,https://media-cdn.tripadvisor.com/media/photo-s/14/aa/c7/53/curry-deserts.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Ambalama Kele,Eggplant Moju
62,Matale,Dambulla,3.5,3.8,4.1,7.8742,80.6511,https://assets.traveltriangle.com/blog/wp-content/uploads/2018/09/Rithu-Restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Rithu Restaurant,Cassava Curry
63,Matale,Galewela,4.2,3.2,3.7,7.7565,80.5772,https://media-cdn.tripadvisor.com/media/photo-p/27/a9/1f/34/the-garlic-cafe-by-jana.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",The Garlic Cafe,Palak Curry
64,Matale,Laggala-Pallegama,3.8,4,4.3,7.546,80.8222,https://media-cdn.tripadvisor.com/media/photo-s/0f/65/f7/b9/photo1jpg.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Friendo,Fish Tofu
65,Matale,Matale,4,3.9,4,7.4675,80.6234,https://media-cdn.tripadvisor.com/media/photo-s/1a/b6/3d/9b/happy-travelers-discover.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Spice Haven,String Hopper Kottu
66,Matale,Naula,4.5,4.1,4.4,7.7071,80.6521,https://media-cdn.tripadvisor.com/media/photo-s/14/aa/c6/f3/buffet-sri-lankan-lunch.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Naula Delights,Rendang
67,Matale,Pallepola,3.6,2.9,3.1,7.623,80.6049,https://duqjpivknq39s.cloudfront.net/2019/01/800x750slfood.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Hillside Bites,Fish Porridge
68,Matale,Rattota,3.9,3.5,3.6,7.5173,80.6715,https://media-cdn.tripadvisor.com/media/photo-s/0e/a5/07/a3/sangraha-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Rattota Spice Trail,Amba Maluwa
69,Matale,Ukuwela,4.1,3.7,3.9,7.4235,80.6306,https://media-cdn.tripadvisor.com/media/photo-s/1a/6a/79/29/gedarawage.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Ukuwela Flavors,Banana Fritters (Kesel Muwa)
70,Matale,Wilgamuwa,3.3,2.8,3.2,7.5199,80.9296,https://cf.bstatic.com/xdata/images/hotel/max1024x768/481969537.jpg?k=266db878a32d191dea27e01510c9be1e4f824f995fab6e37d37ace77a10ea8e8&o=&hp=1,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Wilderness Eats,Black Pork Curry
71,Matale,Yatawatta,4.2,3.5,3.8,7.5635,80.5877,https://oakrayisiwaraayurvedicvillage.com/mathale/images/gallery/oakray-isiwara-ayurvedic-matale-g18.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Yatawatta Tastes,Papadam
72,Matale,Ambanganga Korale,3.5,2.5,3.4,7.5651,80.6742,https://media-cdn.tripadvisor.com/media/photo-s/14/aa/c7/53/curry-deserts.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Ambalama Kele,Fish Roti
73,Matale,Dambulla,3.5,3.8,4.1,7.8742,80.6511,https://assets.traveltriangle.com/blog/wp-content/uploads/2018/09/Rithu-Restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Rithu Restaurant,Beef Biriyani
74,Matale,Galewela,4.2,3.2,3.7,7.7565,80.5772,https://media-cdn.tripadvisor.com/media/photo-p/27/a9/1f/34/the-garlic-cafe-by-jana.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",The Garlic Cafe,Eggplant Salad (Wambatu Sambol)
75,Matale,Laggala-Pallegama,3.8,4,4.3,7.546,80.8222,https://media-cdn.tripadvisor.com/media/photo-s/0f/65/f7/b9/photo1jpg.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Friendo,Potato Curry
76,Matale,Matale,4,3.9,4,7.4675,80.6234,https://media-cdn.tripadvisor.com/media/photo-s/1a/b6/3d/9b/happy-travelers-discover.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Spice Haven,Pol Roti
77,Matale,Naula,4.5,4.1,4.4,7.7071,80.6521,https://media-cdn.tripadvisor.com/media/photo-s/14/aa/c6/f3/buffet-sri-lankan-lunch.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Naula Delights,Chicken Kottu Roti
78,Matale,Pallepola,3.6,2.9,3.1,7.623,80.6049,https://duqjpivknq39s.cloudfront.net/2019/01/800x750slfood.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Hillside Bites,Garlic Curry
79,Matale,Rattota,3.9,3.5,3.6,7.5173,80.6715,https://media-cdn.tripadvisor.com/media/photo-s/0e/a5/07/a3/sangraha-restaurant.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Rattota Spice Trail,Seeni Sambol
80,Matale,Ukuwela,4.1,3.7,3.9,7.4235,80.6306,https://media-cdn.tripadvisor.com/media/photo-s/1a/6a/79/29/gedarawage.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Ukuwela Flavors,Fish Head Curry
81,Matale,Wilgamuwa,3.3,2.8,3.2,7.5199,80.9296,https://cf.bstatic.com/xdata/images/hotel/max1024x768/481969537.jpg?k=266db878a32d191dea27e01510c9be1e4f824f995fab6e37d37ace77a10ea8e8&o=&hp=1,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Wilderness Eats,Jaffna Crab Curry
82,Matale,Yatawatta,4.2,3.5,3.8,7.5635,80.5877,https://oakrayisiwaraayurvedicvillage.com/mathale/images/gallery/oakray-isiwara-ayurvedic-matale-g18.jpg,"Sri Lanka's restaurants offer diverse flavors – aromatic curries, fresh seafood, and rich spices – embodying the island's vibrant culture.",Yatawatta Tastes,White Rice and Curry
